name	normal	fire	water	electric	grass	ice	fighting	poison	ground	flying	psychic	bug	rock	ghost	dark	steel	fairy	dragon
gen1_001_bulbasaur	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
gen1_002_ivysaur	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
gen1_003_venusaur	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
gen1_004_charmander	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_005_charmeleon	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_006_charizard	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
gen1_007_squirtle	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_008_wartortle	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_009_blastoise	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_010_caterpie	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
gen1_011_metapod	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
gen1_012_butterfree	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
gen1_013_weedle	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
gen1_014_kakuna	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
gen1_015_beedrill	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
gen1_016_pidgey	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
gen1_017_pidgeotto	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
gen1_018_pidgeot	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
gen1_019_rattata	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_020_raticate	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_021_spearow	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
gen1_022_fearow	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
gen1_023_ekans	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
gen1_024_arbok	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
gen1_025_pikachu	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_026_raichu	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_027_sandshrew	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
gen1_028_sandslash	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
gen1_029_nidoran-f	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
gen1_030_nidorina	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
gen1_031_nidoqueen	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
gen1_032_nidoran-m	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
gen1_033_nidorino	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
gen1_034_nidoking	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
gen1_035_clefairy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
gen1_036_clefable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
gen1_037_vulpix	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_038_ninetales	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_039_jigglypuff	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
gen1_040_wigglytuff	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
gen1_041_zubat	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
gen1_042_golbat	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
gen1_043_oddish	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
gen1_044_gloom	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
gen1_045_vileplume	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
gen1_046_paras	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
gen1_047_parasect	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
gen1_048_venonat	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
gen1_049_venomoth	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
gen1_050_diglett	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
gen1_051_dugtrio	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
gen1_052_meowth	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_053_persian	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_054_psyduck	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_055_golduck	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_056_mankey	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
gen1_057_primeape	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
gen1_058_growlithe	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_059_arcanine	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_060_poliwag	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_061_poliwhirl	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_062_poliwrath	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
gen1_063_abra	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
gen1_064_kadabra	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
gen1_065_alakazam	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
gen1_066_machop	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
gen1_067_machoke	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
gen1_068_machamp	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
gen1_069_bellsprout	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
gen1_070_weepinbell	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
gen1_071_victreebel	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
gen1_072_tentacool	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
gen1_073_tentacruel	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
gen1_074_geodude	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
gen1_075_graveler	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
gen1_076_golem	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
gen1_077_ponyta	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_078_rapidash	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_079_slowpoke	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
gen1_080_slowbro	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
gen1_081_magnemite	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
gen1_082_magneton	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
gen1_083_farfetchd	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
gen1_084_doduo	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
gen1_085_dodrio	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
gen1_086_seel	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_087_dewgong	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
gen1_088_grimer	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
gen1_089_muk	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
gen1_090_shellder	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_091_cloyster	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
gen1_092_gastly	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
gen1_093_haunter	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
gen1_094_gengar	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
gen1_095_onix	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
gen1_096_drowzee	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
gen1_097_hypno	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
gen1_098_krabby	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_099_kingler	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_100_voltorb	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_101_electrode	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_102_exeggcute	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
gen1_103_exeggutor	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
gen1_104_cubone	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
gen1_105_marowak	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
gen1_106_hitmonlee	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
gen1_107_hitmonchan	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
gen1_108_lickitung	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_109_koffing	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
gen1_110_weezing	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
gen1_111_rhyhorn	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
gen1_112_rhydon	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
gen1_113_chansey	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_114_tangela	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_115_kangaskhan	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_116_horsea	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_117_seadra	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_118_goldeen	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_119_seaking	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_120_staryu	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_121_starmie	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
gen1_122_mr-mime	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
gen1_123_scyther	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
gen1_124_jynx	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
gen1_125_electabuzz	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_126_magmar	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_127_pinsir	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
gen1_128_tauros	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_129_magikarp	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_130_gyarados	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
gen1_131_lapras	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
gen1_132_ditto	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_133_eevee	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_134_vaporeon	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_135_jolteon	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_136_flareon	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_137_porygon	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_138_omanyte	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
gen1_139_omastar	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
gen1_140_kabuto	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
gen1_141_kabutops	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
gen1_142_aerodactyl	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
gen1_143_snorlax	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen1_144_articuno	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
gen1_145_zapdos	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
gen1_146_moltres	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
gen1_147_dratini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
gen1_148_dragonair	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
gen1_149_dragonite	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
gen1_150_mewtwo	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
gen1_151_mew	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
gen2_152_chikorita	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
gen2_153_bayleef	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
gen2_154_meganium	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
gen2_155_cyndaquil	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen2_156_quilava	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gen2_157_typhlosion	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
